"year","month","CC","EC","LC","OSF","WO"
1956,9,12.5449924468994,12.870885848999,12.9299230575562,13.2496585845947,10.6987476348877
1956,10,6.03395318984985,6.43500900268555,6.47243165969849,6.80911207199097,3.86190152168274
1956,11,-3.48747515678406,-1.94449996948242,-4.60756206512451,-4.20711040496826,-4.22459602355957
1956,12,-5.75534820556641,-4.71863222122192,-6.25255870819092,-5.63185834884644,-6.22468662261963
1957,1,-8.61050415039062,-7.75016260147095,-8.79977035522461,-8.08367347717285,-9.87744808197021
1957,2,-1.63566911220551,-1.12261402606964,-2.16223049163818,-1.50736773014069,-3.27409815788269
1957,3,-0.402959913015366,-0.268063634634018,-0.0335504524409771,0.428608000278473,-3.25986361503601
1957,4,2.43136835098267,2.62244439125061,2.62470364570618,2.84439277648926,-0.330867648124695
1957,5,7.09251356124878,7.40849542617798,7.6648325920105,7.9155421257019,4.45630598068237
1957,6,11.9300289154053,12.3802976608276,12.3368940353394,12.5072412490845,9.46957492828369
1957,7,16.1814270019531,16.7713661193848,16.7542343139648,17.0351886749268,13.958685874939
1957,8,16.3527412414551,16.7015819549561,17.0924110412598,17.3499698638916,13.7032537460327
1957,9,10.9700746536255,10.9304208755493,11.4892873764038,11.7289514541626,8.70577716827393
1957,10,5.68842792510986,5.50802421569824,5.92101573944092,6.06220483779907,3.29637718200684
1957,11,-4.76834917068481,-4.45865297317505,-5.11181306838989,-4.50156784057617,-6.33631181716919
1957,12,-4.11399936676025,-3.46340298652649,-4.44579458236694,-4.11439323425293,-5.2419114112854
1958,1,-6.99013519287109,-5.46984148025513,-8.16487693786621,-7.84920501708984,-6.82951211929321
1958,2,-1.74760293960571,-1.32792603969574,-2.11601448059082,-1.77799785137177,-3.33077120780945
1958,3,-4.11079502105713,-3.66971516609192,-4.23639965057373,-3.95734810829163,-6.16440200805664
1958,4,1.18288624286652,1.11956036090851,1.84936225414276,2.19932961463928,-1.5575680732727
1958,5,10.595705986023,10.3752460479736,11.2322511672974,11.961986541748,8.02052116394043
1958,6,13.4992628097534,13.5925579071045,14.0546360015869,14.4266510009766,10.9018754959106
1958,7,15.5064277648926,15.6583223342896,16.2793216705322,16.6746101379395,13.0864896774292
1958,8,17.4482269287109,17.2901458740234,18.1859302520752,18.3640918731689,14.8857851028442
1958,9,12.0032396316528,11.8715381622314,12.7258453369141,12.9941692352295,9.71080112457275
1958,10,7.2561354637146,6.93370676040649,7.34419345855713,7.73576068878174,5.37614393234253
1958,11,-0.874395072460175,-0.457986414432526,-1.21556031703949,-0.491326808929443,-2.36185336112976
1958,12,-1.5122629404068,-0.75263911485672,-1.78092396259308,-1.53790390491486,-2.70504879951477
1959,1,-3.84634518623352,-3.93438744544983,-3.6905403137207,-3.20622420310974,-5.84995031356812
1959,2,-4.37086009979248,-4.44830989837646,-4.02862405776978,-3.37045502662659,-6.66480827331543
1959,3,-1.65867125988007,-1.72206807136536,-1.40222454071045,-0.56129652261734,-4.16607618331909
1959,4,4.02612829208374,4.45455980300903,4.54509210586548,4.86892127990723,1.38689386844635
1959,5,6.80893659591675,6.96457529067993,7.26466083526611,7.4822940826416,3.95945310592651
1959,6,14.4420461654663,14.6011476516724,14.7717132568359,15.117190361023,11.9145879745483
1959,7,16.9965744018555,17.049596786499,17.7180194854736,18.1717796325684,14.6080656051636
1959,8,15.6592836380005,15.8601379394531,16.5771369934082,17.1258811950684,13.1351852416992
1959,9,10.0853576660156,10.1461887359619,11.2098455429077,11.5220603942871,7.50026416778564
1959,10,5.52012014389038,5.53335094451904,6.22723817825317,6.48047876358032,3.35445690155029
1959,11,-0.838828921318054,-0.629673182964325,-0.527728378772736,-0.355369210243225,-2.601229429245
1959,12,-4.19387578964233,-3.79712510108948,-3.99741744995117,-3.58568835258484,-5.28949785232544
1960,1,-6.91129875183105,-7.00806140899658,-6.78829908370972,-6.58865213394165,-8.8950834274292
1960,2,-7.69979619979858,-7.72509574890137,-7.73069381713867,-7.20606184005737,-9.74041175842285
1960,3,-0.164328157901764,0.037848062813282,-0.376176685094833,-0.163740754127502,-2.23506379127502
1960,4,3.98817014694214,4.08639669418335,4.32005310058594,4.19171190261841,1.40141236782074
1960,5,8.0158805847168,8.24123954772949,8.14036464691162,8.07592296600342,5.32807922363281
1960,6,13.652663230896,13.9463348388672,13.8270721435547,13.783712387085,11.171817779541
