"year","month","BCR","BH","BSF","LBR","LR","SF"
1904,2,100.035194396973,159.140045166016,123.43342590332,183.09049987793,147.427612304688,112.69896697998
1904,3,137.250244140625,256.356536865234,168.981048583984,272.049713134766,204.854751586914,186.563537597656
1904,4,50.5315399169922,78.1010055541992,58.5149192810059,77.2995147705078,62.1828727722168,46.2201843261719
1904,5,43.8367691040039,66.3835906982422,41.0811042785645,44.8451843261719,41.2988128662109,44.0964431762695
1904,6,16.1940460205078,25.6605834960938,15.3199129104614,15.5609474182129,21.6173286437988,30.755184173584
1904,7,14.6502304077148,20.0210189819336,13.9163503646851,14.0027551651001,15.3158674240112,15.7969045639038
1904,8,39.2152824401855,97.5114212036133,48.5779113769531,44.6996459960938,40.0130958557129,37.353084564209
1904,9,7.62462568283081,13.6811456680298,9.53263092041016,7.97620868682861,10.7875423431396,9.1167459487915
1904,10,32.0415382385254,33.750072479248,32.9930839538574,43.2921829223633,32.7479858398438,28.5140743255615
1904,11,1.9960572719574,0,1.75759494304657,0,5.44334745407104,3.84075355529785
1904,12,60.540168762207,67.4983215332031,63.3318138122559,97.141845703125,74.5147857666016,49.8794097900391
1905,1,35.8206062316895,48.4693183898926,46.7525367736816,76.2902069091797,57.3979263305664,50.5603828430176
