"WY","BCR","BH","BSF","LBR","LR","SF"
1936,648.321666717529,884.855630874634,830.503643989563,1026.61035728455,1112.39500427246,913.068138122559
1937,630.183616638184,861.696973800659,810.46462059021,983.899538040161,1095.89194583893,733.229066371918
1938,611.107237815857,897.097593307495,748.531014442444,907.908537864685,1004.89360904694,859.672783851624
1939,514.285250663757,742.061092376709,636.58818435669,795.718068122864,858.69738483429,679.501652240753
1940,509.096899032593,737.394882947206,644.510921478271,794.995990276337,842.77487373352,662.588496208191
1941,672.183252334595,883.100814819336,802.249710083008,979.300361633301,1024.52210235596,764.738759994507
1942,605.980205535889,829.168960571289,703.167364120483,953.098003387451,1027.59325218201,707.807415008545
1943,576.097945690155,796.202904224396,713.067225933075,859.501939296722,940.281366825104,784.70250415802
1944,552.225045204163,828.950531840324,635.135112285614,816.680905342102,878.417764663696,614.552531242371
1945,657.440782546997,902.322525024414,782.287222862244,953.944724082947,1041.65506744385,861.331902503967
1946,546.958613395691,730.817114830017,669.495491027832,804.003025054932,914.223375320435,658.210634231567
1947,698.541328430176,969.815746307373,826.174078941345,988.712966918945,1058.11494016647,782.193864822388
1948,559.808080673218,774.588937759399,699.008666038513,888.496046066284,989.261194229126,730.538922309875
1949,653.379356384277,880.327951431274,814.346318244934,993.642644882202,1114.26357841492,803.743054389954
1950,641.701003551483,841.16447353363,783.379960536957,923.780472517014,1022.82867956161,875.517763137817
1951,635.935669898987,861.824980735779,792.734219551086,972.102353096008,1082.9822511673,868.675149917603
1952,722.417714118958,1082.58111763,912.433718204498,1155.97570705414,1215.54665327072,802.675832748413
1953,562.912973880768,806.914083480835,735.958270072937,877.652377605438,973.93511891365,652.34866142273
1954,464.237237930298,700.501369476318,567.033466339111,712.733373641968,770.107084274292,684.721374511719
1955,582.157199859619,862.434112548828,748.308235168457,947.580884933472,1017.43520355225,728.880374908447
1956,570.422648429871,785.907890319824,710.000326156616,956.880660057068,1005.00277233124,822.907687664032
1957,643.153955459595,959.097644805908,778.42068862915,990.832224845886,1024.9058971405,785.514011383057
1958,563.113485336304,818.149648666382,715.454595565796,976.204882621765,946.608721733093,703.909856796265
1959,588.841466546059,802.64422082901,702.447581231594,845.565421938896,874.324844121933,724.631988525391
1960,387.862843990326,620.188414573669,472.97701215744,686.649953365326,686.893561840057,581.806173801422
1961,490.491191864014,694.22755241394,582.372708510607,694.270726203918,779.45490694046,660.781056404114
1962,636.659446716309,905.209232330322,776.35552406311,1018.64989948273,1087.05763530731,789.938442230225
1963,556.297626972198,868.029479026794,656.247069954872,793.438908338547,822.009363174438,764.985439777374
1964,580.037794589996,907.116456985474,685.707308769226,886.181444168091,1000.39387512207,810.995740413666
1965,747.412839889526,1006.31455230713,894.826644897461,1215.61228370667,1155.1083984375,997.179870605469
1966,434.971654891968,667.564381599426,512.812698841095,685.674958705902,722.747107982635,592.625918388367
1967,644.286915779114,921.006170272827,780.802364826202,944.411440849304,1009.30334758759,872.52954864502
1968,655.721698760986,994.438383102417,796.358604431152,1019.23356246948,1058.27771282196,808.793845176697
1969,614.451493024826,947.247489929199,748.154047727585,1054.88773417473,1064.2884054184,760.075434207916
1970,596.658605575562,918.228481292725,733.599117279053,936.987555503845,1009.74631309509,713.894034385681
1971,705.915806770325,919.705015182495,877.169014930725,1105.84488582611,1202.45071411133,951.042764663696
1972,650.248802185059,813.9953956604,818.234741687775,1029.6048822403,1116.27260684967,922.338138580322
1973,704.179319381714,1016.55617523193,823.71343421936,1089.27483558655,1157.90291595459,812.838941574097
1974,538.637364029884,767.704782009125,652.878431364894,875.98577952385,993.948752447963,823.539558827877
1975,683.696524620056,1006.1038608551,817.006401062012,1143.25161266327,1174.11163902283,882.066219329834
1976,590.502627372742,717.751179695129,724.977781295776,899.527181625366,1047.60753631592,912.00693321228
1977,433.570492863655,656.161361694336,497.915400743484,653.227925539017,650.457447528839,543.107724189758
1978,713.138719081879,993.619683027267,852.581014633179,1076.56003928185,1231.16552972794,1061.54586219788
1979,463.676898002625,651.201408863068,578.531815859955,768.719705224037,784.108669757843,644.723024606705
1980,724.835620880127,924.865760803223,870.915837287903,1085.71608352661,1117.45849990845,927.466707229614
1981,437.319707393646,782.101293563843,509.538697719574,629.605323553085,673.845344543457,611.454452514648
1982,947.44841003418,1201.48256492615,1161.46800994873,1408.43755531311,1444.20903396606,1220.04288864136
1983,798.309886932373,1006.91751861572,949.012580871582,1214.193775177,1201.58465576172,990.726959228516
1984,815.182781219482,1015.56175613403,977.351467132568,1279.7699508667,1210.12382125854,1004.63952255249
