"WY","CC","EC","LC","OSF","WO"
1972,4.39397697565986,4.61894973737946,4.50760044523927,4.88265583814819,2.11208441234677
1973,3.27576282644925,3.78780559840268,3.37839951547858,3.79398101519232,1.22672342274287
1974,4.52385423493712,4.98784631229427,4.7041994646804,5.18501347842282,2.37309463024139
1975,3.28493791736969,3.62633915910982,3.77792220736203,4.0548764717191,1.17148622290729
1976,4.15502409205411,4.52643360791962,4.56515042052243,4.72644573743226,2.12810146132779
1977,4.55951405110425,4.74371515639024,5.04602910386373,5.29201139946506,2.52416757100249
1978,5.17245805851401,5.31254111479406,5.55584347346058,5.70499221502918,2.884990746681
1979,4.19114916259295,4.05657989031648,4.39714368532782,4.56273873766808,2.02680324511985
1980,4.7650949896359,4.76731319049668,5.04180504650366,5.14918643561869,2.60992945901683
1981,6.34395470194621,6.48342172156458,6.55088174616637,6.40143084338267,4.21850123405457
1982,4.50133508362182,4.55993246444284,4.82045296479578,5.07418138964535,2.19152429005871
1983,4.33171730626834,4.85389550756918,4.75415874325658,4.95483133596917,2.14687908120351
1984,3.98094862341229,4.75245842370179,4.40347594609026,4.25651233280943,1.84527996133585
1985,3.96419627437853,4.68859902277385,4.15198275553037,3.93031286344136,1.69773999379106
1986,5.32094552027036,6.16257993064515,5.61137121801507,5.34563499672772,2.93226026182305
1987,5.09893122960443,5.89562742497823,5.16359952835188,4.64662364557998,2.71370663773524
1988,5.02559349771406,6.18623753095585,5.33881047514618,5.05712998955628,2.64076252713229
1989,5.13144914646671,5.93029423576512,5.46221602224324,5.1079827403369,2.90984503226737
1990,5.62395212731949,6.37391270480744,5.40507686603559,5.12607832003946,3.23342464949987
1991,4.50592012176775,4.95404104178082,4.27602480764258,3.99737521099718,2.18039706667809
1992,5.98534863666107,6.26550871231517,5.88042768559169,5.68151873512998,3.69824151059643
1993,4.11141726382791,4.13773457840697,3.94633845041876,3.80785317404629,2.02445298547614
1994,5.8345416565464,5.68032515032651,6.0945672757005,6.31449579506704,3.59347172012068
1995,4.809347517768,4.68791240812981,4.83433227735023,4.95083546159304,2.47056243125706
1996,5.66231755855305,5.77803995439915,5.68568355838458,5.81904541035412,3.36125443346513
1997,5.0294291148447,5.3220573046436,5.02848916702891,5.2123887966757,2.68863647833262
1998,5.08611216381805,5.54075109207467,5.16585461374832,5.33554001213753,2.73551483709518
1999,5.10496241932046,5.37305530583205,5.05171478668304,5.27246550256259,2.63305665499544
2000,6.51849107924706,6.88496930876879,6.79319093119903,6.81619215207022,4.26888317553723
2001,5.44324834901993,5.81444473037981,5.57902764330988,5.58884520530701,3.34835324091454
2002,5.24368250174065,5.57142062187195,5.34304076188231,5.41508328359421,3.10514513041875
2003,5.80876080622412,6.17237745482628,6.07108830997389,6.21408990270471,3.53513238266723
2004,5.33216380942715,5.91940966329939,5.53940166866844,5.58873405026608,3.22772622939016
2005,5.47253379135916,6.02055104296297,5.72644680240383,5.9592727949358,3.24720431876509
2006,5.54527432363327,5.85892538861053,5.8574856487039,6.01994878265956,3.26431290482822
2007,6.0639550462161,6.31042342577895,6.38480870250153,6.50629064293757,3.88885793187847
2008,4.42858828156372,4.96722091742552,4.63556452592214,4.83243424905454,2.14712696339263
2009,5.37836316399378,6.18215018259744,5.75777988041917,5.89115396770712,3.2102657724325
2010,4.55135715530343,5.2161189528769,4.5625144089738,4.93059496540729,2.39369832481423
2011,4.74089168653096,5.45238851390473,4.46745895751535,5.1170603637826,2.55982958192695
2012,6.1112196787459,6.85501124135783,5.9814537161035,6.56731987520645,3.97339110963983
2013,5.59479341870301,6.28718847885524,5.52477720441067,6.02378421548295,3.45524424102208
2014,5.5093489806946,6.00123953492674,5.34249583556227,5.81775275354516,3.36409283435508
2015,6.81933390996228,7.44020064783423,6.70630738441258,7.128335135277,4.68953388357816
2016,6.08765373399349,6.68835886156624,5.78366590083623,6.34205492858678,4.00650347451695
2017,6.27962921743524,6.95941134185007,6.03425064805436,6.65648142866892,4.12105207933138
2018,6.79128400748723,7.40112896794326,6.71470013334327,7.01855525911773,4.68068088146105
2019,4.8440816281593,5.35155003021841,4.76502534069427,5.36310883874763,2.79655507753973
2020,5.36800907232641,6.01243843406927,5.14087170704466,5.74785959004053,3.32467916591571
2021,6.15842160476397,6.54674169390577,5.9847604393959,6.65317121662506,4.2612557881499
2022,5.79510690169792,5.91987045946187,5.67224910091864,6.40367867228103,4.02886258335146
2023,4.01658716316093,4.28823863251568,4.29148538488231,4.86194706355056,2.15033877647086
2024,5.69967396142053,6.01234980131108,5.99578069630868,6.54773586174178,3.57345279969804
2025,5.94034921061503,6.21699987429462,6.05255314001482,6.76361730784586,3.84167271901483
