"WY","BC","CC","EC","LC","MC","PC","RB"
1962,1135.76042461395,938.94646692276,813.694794893265,1451.27348995209,986.050045967102,821.385982990265,871.762548446655
1963,962.06918668747,772.877322435379,707.81249165535,1190.31826019287,860.29287815094,728.497669935226,729.880953788757
1964,1032.98808479309,942.6845536232,831.788336753845,1276.71905326843,957.632241725922,819.757632732391,889.852704524994
1965,1341.26219940186,1163.50677490234,1050.71102714539,1682.51480102539,1211.04972076416,1060.23631477356,1103.08355331421
1966,828.458835601807,663.015781402588,595.245316505432,1078.6827878952,723.926781654358,611.304706573486,623.580803871155
1967,1135.16511726379,900.727233886719,794.895344734192,1399.60739898682,968.527382850647,804.367548942566,843.073107719421
1968,1163.54862976074,1001.70258712769,886.745299339294,1423.55043983459,1037.1865978241,892.244226455688,940.440070152283
1969,1219.41627550125,948.942286491394,834.159467697144,1534.58954572678,1046.01345443726,858.014121055603,881.428225040436
1970,1119.41960906982,950.234274864197,833.793251991272,1408.84605789185,987.544198989868,832.297760009766,893.517190933228
1971,1134.26583194733,1013.05183601379,859.751449584961,1414.98643112183,1000.49712848663,858.253380775452,935.441006660461
1972,1072.8180770874,872.522986650467,766.991258621216,1355.93896198273,935.875588417053,782.483574867249,816.785819292068
1973,1158.69398498535,1011.19705581665,884.288644790649,1428.71518707275,1026.58347129822,888.173456192017,950.692560195923
1974,979.746087312698,827.366130590439,699.4855915308,1243.92738580704,846.274317502975,698.1151034832,759.944063186646
1975,1216.6953830719,1047.15209436417,905.182405471802,1529.46468830109,1075.65927314758,906.976691246033,969.141551494598
1976,853.317861557007,757.074298858643,679.536151885986,1086.34743499756,780.758558273315,679.631469726562,715.128057479858
1977,778.710040569305,630.6094789505,576.027321577072,966.927840709686,690.815131664276,585.712970495224,603.509741306305
1978,1217.68943244219,1057.40922093391,934.792581558228,1533.44062276185,1109.4858777523,949.798091411591,985.392102241516
1979,852.045773267746,636.778667573351,569.449860719964,1087.15249466896,727.453988075256,584.696145772934,594.809982538223
1980,1275.07055854797,977.387414932251,881.351377487183,1612.34525299072,1098.15817070007,903.829992294312,922.212398529053
1981,981.508508682251,775.26256942749,714.937494277954,1214.57230949402,859.193125724792,723.517176628113,750.002099990845
1982,1701.68239021301,1297.5974445343,1178.86577033997,2130.83589172363,1461.93368339539,1209.21179771423,1235.30313110352
1983,1466.16667938232,1140.2289352417,1033.42640304565,1809.5052986145,1273.06146240234,1043.36228561401,1087.08123016357
1984,1423.3688659668,1167.10821533203,1096.44735336304,1721.94413757324,1283.15032196045,1119.22842025757,1123.50017547607
1985,1245.66484570503,861.742488205433,818.987011730671,1598.85520505905,1068.00640785694,871.636317074299,829.565403461456
1986,1566.46256542206,1253.98717308044,1133.38259029388,1957.59134674072,1371.91498565674,1137.60784435272,1199.76785945892
1987,761.064252853394,578.04275894165,533.070900917053,916.521860122681,665.199963569641,559.425756454468,554.236775398254
1988,630.549947738647,554.704658985138,503.380521059036,738.29003405571,587.442456483841,516.348490476608,525.534555912018
1989,876.15012216568,730.948487758636,672.446739673615,1033.25369930267,797.32649564743,703.389813423157,691.868454456329
