"WY","BCR","BH","BSF","LBR","LR","SF"
1993,2.88385949053176,0.588983241499287,3.63226406476269,4.37301179056298,3.21079547282768,1.03412849184585
1994,5.3024830489126,1.98799000815169,6.08580521165508,6.94847427622913,5.53078701675755,3.08546608310856
1995,4.03519648885074,0.93885358882277,4.75130589857493,5.73629173824232,4.24786814483878,1.83875873170487
1996,4.93486152092616,1.77786732794809,5.58183394299179,6.66258933586501,4.91637460553581,2.37562580893193
1997,4.2719694036327,1.23212510526997,4.99468354497054,6.08950158700551,4.3507106433176,2.09405255774929
1998,4.27113723689563,1.16699238607328,5.12084509803824,6.19942675490085,4.62710015969734,2.4518922546955
1999,4.32534327017118,1.24028836015153,4.92590431432201,6.04975058346579,4.29122698090664,2.02326436826628
2000,6.06107411781947,2.86397786088329,6.65986775040952,7.80109583232246,6.08648993408745,3.80176299517272
2001,4.66584300749922,1.90849693082783,5.41011687713127,6.51542123833748,5.02230809567726,3.06125546252891
2002,4.42187398533299,1.74306967225793,5.22798420239801,6.32575277988225,4.74269144077824,2.69240284162025
2003,5.43399980264167,2.15984362845551,6.19921214972457,7.17843869414232,5.76220377112088,3.42142106800863
2004,4.57664340083065,1.97819808451204,5.50969862742502,6.4775806991129,5.26005432058553,2.94616023626158
2005,4.64641144961527,1.96798807235613,5.6055110332084,6.69544107979291,5.31365788848433,3.04092551714753
2006,4.89988845929708,2.03141953128658,5.78064625998066,6.98548091527534,5.42802714476847,3.27478186855577
2007,5.33673762393324,2.55690055024134,6.22542623232489,7.39255881897391,5.95810673922709,3.74800796280168
2008,3.42785005605286,0.819477597220999,4.53669516033814,5.82929647196837,4.17630885989288,2.04311886511214
2009,4.87051209293,1.87832959384134,5.64924357982531,6.79750842272419,5.18687339025001,2.98896689153697
2010,3.9643603869497,0.995691855149726,4.65872128681879,5.78878256768396,4.13301262202328,1.88495745295531
2011,3.84846563273913,1.24754458714838,4.8952141036726,6.10753057476592,4.41087031331781,2.13506949895049
2012,5.38910855247023,2.52237527389995,6.33389400719294,7.52824505137615,5.80474538816129,3.56316705512219
2013,4.90182614620418,1.83943092627068,5.79293966064714,6.95540881744803,5.29261403312422,2.95897279928808
2014,4.89825486802075,1.77927093015958,5.60236252138059,6.80174873757036,5.00852270632574,2.6211359282879
2015,6.35003175604833,3.08139982795062,6.9669128743753,8.19246318250486,6.33400245300711,4.01007659214817
2016,5.26509785762087,2.3476347157864,6.11462414720671,7.27260653259324,5.59177429933366,3.43148573891061
2017,5.31813423225324,2.55900322852069,6.22195685138441,7.50011340102104,5.6589059026274,3.2825398971569
2018,6.17236291970292,3.09753237799422,6.64146626175266,7.93287358496287,5.94776172572619,3.55014146517401
2019,4.07551639047387,1.25322101720392,4.93892037117318,6.28541514628554,4.41051260869797,2.19654574132945
2020,4.42759117060672,1.71381017223733,5.40829579800856,6.60819912868771,4.72041219267282,2.25657650917931
2021,5.89272121337995,2.60659672070856,6.66772079451443,7.16418422215605,5.88687924718204,3.52915348386111
2022,5.24570392745815,2.60354396023162,6.35760968890909,6.9055433906921,5.57375767059522,3.51799928019308
2023,3.426112509427,0.7470635192035,4.84520062485786,5.43973351112784,4.02913577495372,1.71544674259343
2024,5.75580197670421,2.03015794698658,6.57996752662737,7.12433813536753,5.64327997022151,3.45359188806815
2025,6.0758022894598,2.06302296037543,6.8497061655946,7.22684442474417,5.61065467138813,3.49627267040618
