"year","month","BC","CC","EC","LC","MC","PC","RB"
1902,3,101.706916809082,68.2051162719727,65.9704742431641,124.590675354004,86.1684036254883,71.6642837524414,64.882453918457
1902,4,124.623489379883,117.508331298828,104.690078735352,141.597869873047,120.796508789062,101.462791442871,110.35977935791
1902,5,62.9913482666016,69.3022232055664,58.7539596557617,75.7040328979492,62.9439392089844,53.5398216247559,64.9244003295898
1902,6,20.2513790130615,16.3255157470703,17.4230651855469,23.79909324646,19.7679481506348,17.6984977722168,17.0577774047852
1902,7,13.2750482559204,10.5355463027954,9.6361026763916,19.5104026794434,10.7762546539307,9.68518352508545,10.0551233291626
1902,8,17.5858020782471,7.3428783416748,8.71422863006592,22.9636268615723,13.443187713623,10.9992837905884,8.16419410705566
1902,9,11.5536451339722,9.99582099914551,10.7589464187622,11.5768260955811,11.2816801071167,11.2481155395508,10.379825592041
1902,10,25.9184951782227,19.9819393157959,19.7123851776123,33.7274169921875,23.5182094573975,21.1300754547119,20.0228080749512
1902,11,97.9459609985352,70.9651489257812,67.3340072631836,123.693534851074,86.2477798461914,71.3260498046875,68.08349609375
1902,12,143.516647338867,125.001403808594,106.774772644043,188.814315795898,123.311935424805,107.491516113281,111.497611999512
1903,1,240.732299804688,227.752136230469,189.089477539062,340.66015625,206.40495300293,175.147903442383,207.994110107422
1903,2,29.6542720794678,20.6970996856689,21.8443126678467,23.6416015625,26.765230178833,24.3889961242676,21.02467918396
1903,3,177.236373901367,88.7727203369141,84.8998107910156,269.114776611328,134.9326171875,96.4506988525391,85.6838531494141
1903,4,86.449333190918,67.4413528442383,61.9404754638672,103.063598632812,78.8272247314453,62.5579528808594,64.9516067504883
1903,5,109.554901123047,93.8061218261719,84.9486312866211,116.600654602051,102.007667541504,85.0855407714844,90.1693496704102
1903,6,8.85889911651611,9.04343700408936,9.0777645111084,9.30181980133057,9.02372169494629,8.99793243408203,9.09464263916016
1903,7,17.168628692627,11.4320287704468,12.03049659729,20.6703186035156,14.5389204025269,12.8919229507446,12.0086441040039
1903,8,18.3308296203613,8.05009269714355,9.43175601959229,23.4977397918701,14.5861988067627,11.8045673370361,8.82608318328857
1903,9,47.358039855957,40.5859756469727,40.835506439209,66.2593536376953,44.4300918579102,42.296215057373,42.3305320739746
1903,10,54.8037109375,55.6123733520508,51.9280281066895,73.3590393066406,53.7416877746582,51.095043182373,54.429557800293
1903,11,190.204574584961,140.239303588867,128.305267333984,260.054229736328,162.402465820312,135.910034179688,128.50260925293
1903,12,108.544372558594,93.7123641967773,78.0366973876953,152.624206542969,91.0122451782227,77.4131164550781,82.8091888427734
1904,1,129.97932434082,108.048873901367,89.5657501220703,189.313140869141,108.690605163574,88.1964263916016,95.2045135498047
1904,2,273.708282470703,167.290557861328,143.640167236328,319.160491943359,219.019485473633,159.029769897461,151.237319946289
1904,3,427.003631591797,281.010040283203,265.494293212891,482.392700195312,341.112854003906,283.862823486328,275.253662109375
1904,4,117.15177154541,102.042037963867,87.3877410888672,136.842636108398,109.542488098145,84.9289398193359,94.9064712524414
1904,5,80.4938659667969,76.5960998535156,73.0339508056641,83.5268630981445,77.5094757080078,71.889762878418,75.3831481933594
1904,6,14.5457496643066,14.3972301483154,14.9253778457642,14.3833284378052,15.6512746810913,15.1558122634888,14.835111618042
