"WY","BC","CC","EC","LC","MC","PC","RB"
1944,3.461594764815,5.96846038037962,6.49872125204795,2.54884140901878,4.42043943515892,5.97719986907771,6.09155636178991
1945,3.52101298488983,5.98847220650274,6.42603512157316,2.62241252481121,4.432548290981,5.89826858174311,6.07973528765652
1946,4.25386438696352,6.88514154047182,7.3451028180449,3.35141747226454,5.32414331464735,6.77957405897036,7.01346765527987
1947,3.66367519750987,6.28410772780237,6.82330787941201,2.84547554875073,4.66106639447278,6.3117709663939,6.38625884584776
1948,3.48323565754083,6.3275710012092,6.49618759116188,2.88659500554611,4.52760072940034,5.85472812808928,6.28726619123761
1949,3.07237898356294,5.98718011117961,6.00706838255059,2.60256536431509,4.11898585329317,5.28465340415092,5.88717529251151
1950,3.39527888820596,6.34097466419821,6.49526459631855,2.93204868656315,4.44700196573179,5.78267310175994,6.30551995847323
1951,4.66958552615283,7.42918545946683,7.37713908034645,4.11122524379051,5.65151691921566,6.6980951357786,7.33568065239959
1952,3.50100497469876,6.30712394233121,6.30168689034187,3.03728561453481,4.51924735665973,5.67304893969838,6.17739036609037
1953,4.34597500644318,7.33253901894778,7.3082356282293,3.75862510008355,5.39728912812186,6.5650252091558,7.23316089968159
1954,4.9174487695302,7.7599110174669,7.65749175417913,4.43973026471595,5.94439436442231,6.93883043021372,7.63495714252126
1955,3.25632872516162,6.13808156823459,6.14235114724669,2.84843312746858,4.28000012195274,5.40425582193348,6.06044897641221
1956,4.21984205936474,7.22845223334318,7.47401704313488,3.69935810826515,5.31489570512146,6.71493050434672,7.26058520588393
1957,3.86179000955738,6.72973822894162,6.9263422789639,3.16527442801489,4.93572231759764,6.21642064035755,6.76103866720853
1958,4.17839080666843,7.17252644610732,7.25007942539372,3.61370644765357,5.28735703442195,6.44866156578064,7.13332576408778
1959,4.46296497093488,7.47049107159654,7.6599806163409,3.87962215599948,5.56438326692744,6.86990667904332,7.47194181484719
1960,4.15678170958503,7.21262859939877,7.47022385479974,3.63151446359405,5.32777072839398,6.65302880507349,7.27319979960801
1961,4.64026925041251,7.61681328636326,7.85366239253789,3.88932778720986,5.76970813894925,7.08513560931977,7.67511809378454
1962,3.51107515570236,6.42630357415709,6.93501064042522,2.85919940308349,4.68248443146275,6.19430532553425,6.60800815118502
1963,4.65439936510504,7.63283485892701,7.74529078170045,3.98596558048301,5.77931966618316,6.94436396772731,7.66360637586411
1964,3.12370662936747,5.8668025947008,6.0767178789514,2.54289230248316,4.16400507125047,5.33369821733464,5.93056676231447
1965,3.051133341332,5.94209432953025,6.15599352856205,2.31584219214034,4.10486192376646,5.3782056922782,6.00154284581746
1966,4.67643093850515,7.59275418699604,7.77790097929027,4.05089317764321,5.77630974038007,6.97982411188622,7.66686404175954
1967,3.92456368158941,6.62314020117668,6.68803191184998,3.20299119757335,4.92103310713213,5.99604853375317,6.62955295876281
