Year,ECJ,CC,LC,OSF,WO,ECM,OP,WC,WG
1983,-2.422222222,-2.905,-2.680555556,-2.127777778,-4.43,-1.863157895,-2.051428571,-3.160204082,-2.495583596
1984,-7.061111111,-7.528333333,-8.402777778,-8.566666667,-8.1825,-6.731578947,-8.56,-7.674489796,-7.540694006
1985,-6.877777778,-7.43,-8.558333333,-8.605555556,-8.065,-6.478947368,-8.632857143,-7.453061224,-7.384858044
1986,-1.683333333,-2.893333333,-3.725,-4.436111111,-3.625,-1.292105263,-4.602857143,-2.880612245,-2.772870662
1987,-6.35,-7.07,-7.461111111,-8.086111111,-8.37,-5.942105263,-8.098571429,-7.145918367,-6.962776025
1988,-6.116666667,-7.556666667,-7.330555556,-7.497222222,-9.1425,-5.547368421,-7.397142857,-7.547959184,-6.922082019
1989,-6.5,-7.155,-6.905555556,-7.033333333,-8.2775,-6.028947368,-7.365714286,-7.458163265,-6.930599369
1990,-4.377777778,-5.685,-5.247222222,-5.233333333,-7.7575,-3.752631579,-5.062857143,-5.987755102,-5.061198738
1991,-6.527777778,-6.961666667,-7.372222222,-7.161111111,-8.1675,-6.089473684,-7.125714286,-7.175510204,-6.854258675
1992,-4.255555556,-4.895,-5.327777778,-5.063888889,-6.0375,-3.876315789,-5.045714286,-5.065306122,-4.757728707
1993,-6.1,-6.191666667,-6.808333333,-6.697222222,-7.14,-5.65,-6.722857143,-6.352040816,-6.193059937
1994,-2.85,-2.896666667,-2.191666667,-1.866666667,-4.8225,-2.110526316,-2.022857143,-3.345918367,-2.475709779
1995,-4.577777778,-5.096666667,-5.102777778,-4.783333333,-6.57,-4.007894737,-4.584285714,-5.37755102,-4.696845426
1996,-4.433333333,-5.341666667,-5.194444444,-5.097222222,-7.36,-3.744736842,-4.581428571,-5.520408163,-4.669085174
1997,-5.377777778,-5.538333333,-5.888888889,-5.836111111,-6.9625,-4.613157895,-5.547142857,-5.831632653,-5.234384858
1998,-2.855555556,-3.65,-3.577777778,-3.430555556,-5.575,-2.194736842,-3.028571429,-3.893877551,-3.078233438
1999,-3.077777778,-3.66,-3.602777778,-3.555555556,-5.6075,-2.355263158,-3.13,-3.952040816,-3.111356467
2000,-3.044444444,-3.965,-3.894444444,-3.744444444,-5.91,-2.5,-3.311428571,-4.112244898,-3.361514196
2001,-5.416666667,-6.028333333,-6.036111111,-5.441666667,-6.7875,-4.992105263,-5.541428571,-6.154081633,-5.715141956
2002,-6.083333333,-6.628333333,-6.847222222,-6.5,-8.1325,-5.547368421,-6.304285714,-6.753061224,-6.241009464
2003,-0.655555556,-1.091666667,-0.811111111,-0.505555556,-2.39,-0.071052632,-0.587142857,-1.296938776,-0.700630915
2004,-5.222222222,-5.54,-5.572222222,-5.330555556,-6.32,-5.092105263,-5.795714286,-5.836734694,-5.689274448
2005,-1.405555556,-2.23,-2.411111111,-1.572222222,-3.4025,-0.913157895,-1.425714286,-2.146938776,-1.706624606
2006,-3.516666667,-4.328333333,-4.102777778,-3.436111111,-5.7625,-2.905263158,-3.311428571,-4.398979592,-3.695268139
2007,-7.322222222,-7.123333333,-7.088888889,-6.236111111,-7.54,-7.065789474,-6.431428571,-7.251020408,-7.033438486
2008,-6.844444444,-7.855,-7.766666667,-6.863888889,-9.0725,-6.484210526,-6.924285714,-7.843877551,-7.387381703
2009,-2.855555556,-3.365,-3.405555556,-2.877777778,-4.405,-2.628947368,-2.974285714,-3.416326531,-3.18044164
2010,-2.888888889,-3.181666667,-3.088888889,-2.730555556,-4.2825,-2.610526316,-2.987142857,-3.444897959,-3.105678233
2011,-5.177777778,-5.783333333,-5.808333333,-5.094444444,-6.5525,-4.760526316,-5.055714286,-5.72755102,-5.434384858
2012,-2.5,-3.395,-3.491666667,-3.005555556,-4.5475,-2.160526316,-2.812857143,-3.268367347,-2.965299685
2013,-6.705555556,-6.195,-6.894444444,-6.272222222,-6.7425,-6.573684211,-6.682857143,-6.553061224,-6.655520505
2014,-2.933333333,-3.441666667,-3.683333333,-2.944444444,-4.0025,-2.618421053,-2.897142857,-3.369387755,-3.2
2015,-1.627777778,-2.015,-2.186111111,-1.077777778,-2.5975,-1.392105263,-1.101428571,-2.041836735,-1.7829653
2016,-4.511111111,-4.798333333,-5.816666667,-4.694444444,-5.5075,-4.139473684,-4.661428571,-4.971428571,-4.876971609
2017,-5.722222222,-5.871666667,-6.730555556,-5.441666667,-6.57,-5.268421053,-5.501428571,-6.06122449,-5.876025237
2018,-1.077777778,-1.821666667,-1.897222222,-1.191666667,-2.8,-0.652631579,-1.151428571,-1.876530612,-1.482649842
